NAME_1,NAME_2,yr2014,yr2023_post_eq,yr2023_pre_eq,eq_mi,pc_14_23pre_eq,pc_14_23post_eq
Chaouia - Ouardigha,Ben Slimane,7.868370056152344,18.903305238293065,23.45162834619221,4.6,198.0493822587206,140.24423233007977
Chaouia - Ouardigha,Khouribga,6.904846668243408,14.751179546117783,12.051463873762833,4.4,74.53629968627128,113.63515013245733
Chaouia - Ouardigha,Settat,5.356640338897705,12.706308260560036,13.965582784853483,5,160.7153346369216,137.2066716574582
Doukkala - Abda,El Jadida,5.455665111541748,29.030096754431725,28.729332547438766,5.6,426.5963353700054,432.1092142004285
Doukkala - Abda,Safi,4.307987689971924,10.513075143098831,9.81972562639337,6.4,127.94228612239526,144.0367962882305
Fès - Boulemane,Boulemane,0.5029040575027466,3.831990571692586,3.381263824733528,3.4,572.3476922265756,661.9724904827711
Fès - Boulemane,Fès,48.245670318603516,67.67456495761871,83.52426979121041,NA,73.12282996512431,40.27075281721896
Fès - Boulemane,Sefrou,3.6605148315429688,8.645278945565224,7.965989259449212,3.4,117.6193684780513,136.17658562856013
Fès - Boulemane,Zouagha-Moulay Yacoub,21.638517379760742,33.95221996307373,31.945589993451094,NA,47.632989048181805,56.906406142365476
Gharb - Chrarda - Béni Hssen,Kénitra,10.476106643676758,19.36871065199375,18.126298791483826,NA,73.02514577230488,84.88462661540825
Gharb - Chrarda - Béni Hssen,Sidi Kacem,3.495281934738159,9.109584920108318,9.143764872299997,NA,161.60307074012846,160.62518246588144
Grand Casablanca,Casablanca,198.80308532714844,294.9878145648587,281.98100466341583,4.8,41.83935032969464,48.381909706999565
Grand Casablanca,Mohammedia,388.67205810546875,426.30573482513427,447.23804342335666,4.2,15.068226309696705,9.682629850755406
Guelmim - Es-Semara,Assa-Zag,0.1041480228304863,3.9174960217168255,3.0135458782315254,4,2793.5219280508486,3661.469411755451
Guelmim - Es-Semara,Guelmim,0.8824701309204102,5.320083528757095,4.922070427944786,4,457.76056950631306,502.8627306862257
Guelmim - Es-Semara,Tan-Tan,0.43294376134872437,4.687965374439955,4.0345695316791534,3.8,831.8922899155527,982.8116242709701
Guelmim - Es-Semara,Tata,0.094734296202659607,3.649569892114209,2.7842003448229087,5,2838.957121575939,3752.4273028923917
Laâyoune - Boujdour - Sakia El H,Laâyoune,0.21945159137248993,7.861447690054774,8.749909644191328,NA,3887.1707420610674,3482.315188916088
Marrakech - Tensift - Al Haouz,Al Haouz,1.354111909866333,5.812917869538069,4.593059275601361,8.6,239.1934774471299,329.27898552431117
Marrakech - Tensift - Al Haouz,Chichaoua,1.0594382286071777,5.641851421445608,4.62552464792603,8.4,336.6016368889307,432.53236187850587
Marrakech - Tensift - Al Haouz,El Kelaâ des Sraghna,2.9223310947418213,8.485029928386211,7.438301042506569,6.6,154.53313814750067,190.35142334328265
Marrakech - Tensift - Al Haouz,Essaouira,1.4798471927642822,5.170026108622551,4.429488643219597,6,199.3206774914056,249.36215941087772
Marrakech - Tensift - Al Haouz,Marrakech,33.035343170166016,40.95160971581936,34.43388096945626,7.2,4.2334592744695785,23.96302198187082
Meknès - Tafilalet,El Hajeb,4.361644268035889,10.476427599787712,9.86380872600957,3.8,126.14885854621485,140.19445319197018
Meknès - Tafilalet,Errachidia,0.4603542685508728,3.9298204239457846,3.7400012878995192,4,712.4180752515862,753.6513490612954
Meknès - Tafilalet,Ifrane,1.9867265224456787,6.240943305194378,6.233244335329211,3.8,213.74445676881732,214.13197713350698
Meknès - Tafilalet,Khénifra,1.2680177688598633,5.248971201479435,4.6628082394599915,3.8,267.72420339602576,313.95091854265115
Meknès - Tafilalet,Meknès,18.616422653198242,25.343977361917496,26.66754471289145,NA,43.24741766813104,36.13774157390803
Oriental,Berkane Taourirt,6.502925395965576,10.107450239360332,10.060714913739098,NA,54.710600247402176,55.42928180647757
Oriental,Figuig,0.23826786875724792,3.5507164616137743,3.0528768230425682,NA,1181.2792757016264,1390.2204313714308
Oriental,Jerada,0.7089555859565735,3.9741244949400425,3.5493707205798173,NA,400.64782489734574,460.5604319455175
Oriental,Nador,12.531013488769531,17.44418193399906,17.48995170077762,NA,39.573321155965225,39.2080692406307
Oriental,Oujda Angad,30.517847061157227,32.70663207372029,33.735810797555104,NA,10.54453064775223,7.172147524616595
Rabat - Salé - Zemmour - Zaer,Khémisset,1.7701846361160278,6.339433580636978,6.7300028487255705,4.2,280.1864907997342,258.1227320188681
Rabat - Salé - Zemmour - Zaer,Rabat,339.346435546875,762.8028858729771,670.1129289899553,NA,97.47162745647596,124.78588426711458
Rabat - Salé - Zemmour - Zaer,Salé,37.97774124145508,77.6243953704834,86.88300482002464,NA,128.77349199795592,104.39445009897408
Rabat - Salé - Zemmour - Zaer,Skhirate-Témara,35.96144104003906,74.76692913424584,74.59884548187256,4.2,107.44120181061444,107.90860146844837
Souss - Massa - Draâ,Agadir-Ida ou Tanane,20.044565200805664,30.73481079839891,23.500408774928044,5.8,17.240800882941958,53.332389555466975
Souss - Massa - Draâ,Chtouka-Aït Baha,3.596804141998291,9.575043603777885,9.208565097106131,6,156.02075435750837,166.2097580453252
Souss - Massa - Draâ,Inezgane-Aït Melloul,71.63616943359375,98.90367021868306,80.67103921042548,5.8,12.61216205203014,38.0638733208175
Souss - Massa - Draâ,Ouarzazate,0.39476069808006287,3.946953436359763,3.265693656708065,6.4,727.2590641851934,899.834445413628
Souss - Massa - Draâ,Taroudannt,0.9404773116111755,4.986494615674019,4.366665262924998,7.8,364.30309471732596,430.2089220133787
Souss - Massa - Draâ,Tiznit,1.1180624961853027,5.776576489210129,5.263350251473879,5,370.7563548041195,416.6595345894461
Souss - Massa - Draâ,Zagora,1.96519935131073,5.244624514132738,5.266515267522712,4.8,167.98885639821228,166.874936155191
Tadla - Azilal,Azilal,1.275979995727539,5.286032889038324,4.663621535172334,6.4,265.49331108543186,314.27239507969955
Tadla - Azilal,Béni Mellal,7.106024265289307,13.39700062572956,11.95092556978527,5,68.18019645896484,88.53018404636886
Tanger - Tétouan,Chefchaouen,1.0613441467285156,6.190630227327347,5.634720476050126,NA,430.9041834751314,483.2820811618294
Tanger - Tétouan,Fahs Anjra,50.948795318603516,91.36753199895223,97.97939939756651,NA,92.30955076535474,79.33207532699042
Tanger - Tétouan,Larache,5.534188270568848,10.456425860524178,10.948497872603568,NA,97.83385272287084,88.94235883032911
Tanger - Tétouan,Tanger-Assilah,57.322540283203125,88.3544975757599,84.04978370666504,NA,46.62606243794404,54.135697998104725
Tanger - Tétouan,Tétouan,29.99128532409668,29.26015281677246,33.86245629661961,NA,12.907652775430126,-2.4378165171093413
Taza - Al Hoceima - Taounate,Al Hoceïma,5.242083549499512,12.572716571390629,13.771809487729461,NA,162.7163294458427,139.84197223623056
Taza - Al Hoceima - Taounate,Taounate,2.0804057121276855,6.852928347885609,6.246245039136786,NA,200.24167895350504,229.40345760139925
Taza - Al Hoceima - Taounate,Taza,1.890055775642395,5.805840834975243,5.248062958588472,NA,177.66709460226124,207.17828065163553
