NAME_1,NAME_2,NAME_3,yr2014,yr2023_post_eq,yr2023_pre_eq,eq_mi,pc_14_23pre_eq,pc_14_23post_eq
Chaouia - Ouardigha,Ben Slimane,Ben Slimane,5.055547714233398,13.894345868018366,16.708482491342643,4.6,230.49796848522567,174.83364124722232
Chaouia - Ouardigha,Ben Slimane,Bouznika,8.783105850219727,22.583026885986328,28.933687762210248,4.4,229.42433184368846,157.11891978873703
Chaouia - Ouardigha,Ben Slimane,NA (Ben Slimane),3.3412299156188965,11.418337670239534,13.677784151044385,4.2,309.3637521652217,241.74055538241865
Chaouia - Ouardigha,Ben Slimane,NA (Bouznika),50.05915832519531,103.11365675157116,84.49636695259495,NA,68.79302365351002,105.98360060655064
Chaouia - Ouardigha,Khouribga,Bejaad,2.1222405433654785,6.274849347770214,5.462701496325041,4.2,157.40256039318768,195.67097694870492
Chaouia - Ouardigha,Khouribga,Khouribga,16.392566680908203,29.725643187761307,25.082802646689945,4.4,53.0132720210492,81.33611268076541
Chaouia - Ouardigha,Khouribga,NA (Bejaad),33.489654541015625,56.43080425262451,47.41979357600212,4.2,41.59535004437237,68.50219874174063
Chaouia - Ouardigha,Khouribga,NA (Boujniba),4.548705577850342,15.691669842292523,15.208015569051106,4,234.33721547302727,244.9700046251004
Chaouia - Ouardigha,Khouribga,NA (Hattane),0.4739270508289337,6.7182373661419446,6.778473090853602,4,1330.2777355708115,1317.5678206996724
Chaouia - Ouardigha,Khouribga,NA (Khouribga),47.89207077026367,155.9049914129849,140.08337217966715,4,192.49804806236386,225.53403706608313
Chaouia - Ouardigha,Khouribga,NA (Ouad Zem),8.942304611206055,19.30615383578885,21.94189777970314,4,145.37184466078955,115.89684846561067
Chaouia - Ouardigha,Khouribga,Ouad Zem,3.3666419982910156,9.360273510217667,7.799684324780026,4.2,131.67548936712973,178.02996323841845
Chaouia - Ouardigha,Settat,Ben Ahmed,2.8816816806793213,8.318874720604189,8.282457759505824,4.4,187.41751092901197,188.68125082584123
Chaouia - Ouardigha,Settat,Berrechid,11.620614051818848,25.40921724996259,32.21197261308369,4.6,177.19681997391436,118.65640779959958
Chaouia - Ouardigha,Settat,El Borouj,0.8078922033309937,5.664967715740204,5.040938741282413,5,523.9618009058987,601.2034145623837
Chaouia - Ouardigha,Settat,El Gara,6.47252082824707,19.034270440378496,26.730502644100703,4.6,312.9844206517606,194.07816437314546
Chaouia - Ouardigha,Settat,NA (Ben Ahmed),7.344748497009277,13.18829973812761,17.320841143208163,4.2,135.82619813681939,79.56094403365587
Chaouia - Ouardigha,Settat,NA (Berrechid),453.9186706542969,665.9285113994891,596.7350831873276,4.6,31.46299585499961,46.70656980017866
Chaouia - Ouardigha,Settat,NA (El Borouj),0,3.957187687557551,3.537329684419092,4.4,NA,NA
Chaouia - Ouardigha,Settat,NA (El Gara),0,5.731279389512155,6.557047405413219,4,NA,NA
Chaouia - Ouardigha,Settat,NA (Loulad),3.135207176208496,11.510432910919189,13.589512233076423,4.2,333.4486197977718,267.13468246264716
Chaouia - Ouardigha,Settat,NA (Oulad Abbou),25.7858943939209,30.157434463500977,43.41117459535599,4.2,68.35240977947346,16.953222575093932
Chaouia - Ouardigha,Settat,NA (Oulad M'Rah),20.385169982910156,35.93890565236409,36.55594417452812,4.2,79.326168019078,76.29926894155585
Chaouia - Ouardigha,Settat,NA (Settat),143.91427612304688,283.0436332702637,233.9529266357422,4.8,62.56408532792963,96.67516030741872
Chaouia - Ouardigha,Settat,Settat,3.642876148223877,10.575947530807987,12.512947797775269,4.8,243.49089259803932,190.31861365817784
Doukkala - Abda,El Jadida,Azemmour,6.284536838531494,29.787340348766698,23.787361659501727,4,278.5062013425974,373.978291703786
Doukkala - Abda,El Jadida,El Jadida,9.913846969604492,81.59909476339817,61.76710524057088,4.8,523.0387197820045,723.0820489117709
Doukkala - Abda,El Jadida,NA (Azemmour),100.62584686279297,111.2531577472029,121.75676754901285,3.8,20.99949599930589,10.56121385880177
Doukkala - Abda,El Jadida,NA (El Jadida),345.2275390625,495.8831507364909,470.8857727050781,3.8,36.39867027520911,43.63951151843544
Doukkala - Abda,El Jadida,NA (Lbir Jdid),163.23675537109375,270.8674747242647,246.38839801989104,3.6,50.93928904661501,65.93534593878015
Doukkala - Abda,El Jadida,NA (Sidi Bennour),75.41028594970703,158.97181002298993,145.86484892027718,5,93.42831960292264,110.80918606914199
Doukkala - Abda,El Jadida,NA (Zemamra),4.723104953765869,19.60436494888798,17.02437057495117,4.8,260.4487035880315,315.0736674453285
Doukkala - Abda,El Jadida,Sidi Bennou,0.9953991174697876,6.498002842549355,8.092130133980199,5.6,712.9533161079794,552.8037576592068
Doukkala - Abda,El Jadida,Sidi Smail,1.1391016244888306,7.027861133217812,10.014055747734872,4.6,779.1187311517231,516.9652454294014
Doukkala - Abda,El Jadida,Zemamra,2.7135260105133057,20.73051148076211,19.532843608605237,5,619.8325548724074,663.9695142203783
Doukkala - Abda,Safi,Abda,0.4346969723701477,5.793999871239066,5.6591302470157014,5.6,1201.85637506509,1232.8824996520639
Doukkala - Abda,Safi,Ahmar,3.083361864089966,7.828116804361343,6.829254736771455,6.4,121.48729334391845,153.88252010024004
Doukkala - Abda,Safi,Gzoula,4.811851978302002,11.635500982403755,12.258890628814697,5.8,154.76449990759264,141.80920433279144
Doukkala - Abda,Safi,Hrara,1.2026596069335938,8.143803872168064,13.845726725302244,5.4,1051.2589801369086,577.1495296937942
Doukkala - Abda,Safi,NA (Asfi Biyada),211.02703857421875,250.13071123246223,279.399777211641,5.2,32.39998964084186,18.530171736495568
Doukkala - Abda,Safi,NA (Asfi Boudheb),458.18927001953125,536.2673918625404,514.377314712062,5.4,12.263064276938572,17.040582779182266
